time_period,measure,sex,obs_value,last_obs_value,change_obs_value
2020-12-01,full-time,female,3298.96236705,3264.83511445,34.12725259999979
2021-01-01,full-time,female,3325.07558429,3298.96236705,26.113217239999813
2021-02-01,full-time,female,3395.07587102,3325.07558429,70.00028672999997
2021-03-01,full-time,female,3374.03494842,3395.07587102,-21.040922599999703
2021-04-01,full-time,female,3381.24017681,3374.03494842,7.205228389999775
2021-05-01,full-time,female,3448.4135037,3381.24017681,67.17332689000023
2021-06-01,full-time,female,3449.65912318,3448.4135037,1.245619479999732
2021-07-01,full-time,female,3434.05978889,3449.65912318,-15.59933428999966
2021-08-01,full-time,female,3410.67259971,3434.05978889,-23.38718917999995
2021-09-01,full-time,female,3444.80137883,3410.67259971,34.12877911999976
2021-10-01,full-time,female,3423.60230012,3444.80137883,-21.199078709999867
2021-11-01,full-time,female,3472.29108537,3423.60230012,48.68878524999991
2021-12-01,full-time,female,3483.93029203,3472.29108537,11.639206660000127
2022-01-01,full-time,female,3497.83998422,3483.93029203,13.909692189999987
2022-02-01,full-time,female,3565.34396178,3497.83998422,67.50397755999984
2022-03-01,full-time,female,3576.12144638,3565.34396178,10.777484600000207
2019-01-01,full-time,male,5508.83226407,NA,0
2019-02-01,full-time,male,5479.59309909,5508.83226407,-29.23916498000017
2019-03-01,full-time,male,5513.3711593,5479.59309909,33.77806021000015
2019-04-01,full-time,male,5496.25695224,5513.3711593,-17.1142070599999
2019-05-01,full-time,male,5539.27316109,5496.25695224,43.01620885000011
2019-06-01,full-time,male,5546.66079778,5539.27316109,7.387636690000363
2019-07-01,full-time,male,5540.25089521,5546.66079778,-6.409902570000668
2019-08-01,full-time,male,5537.64770423,5540.25089521,-2.6031909799994537
2019-09-01,full-time,male,5538.75247062,5537.64770423,1.1047663899998952
2019-10-01,full-time,male,5525.36054987,5538.75247062,-13.391920750000281
2019-11-01,full-time,male,5527.75943328,5525.36054987,2.398883410000053
2019-12-01,full-time,male,5492.5419787500005,5527.75943328,-35.217454529999486
2020-01-01,full-time,male,5527.62711454,5492.5419787500005,35.085135789999185
2020-02-01,full-time,male,5528.53747235,5527.62711454,0.9103578100002778
2020-03-01,full-time,male,5528.41980775,5528.53747235,-0.11766460000035295
2020-04-01,full-time,male,5402.99383499,5528.41980775,-125.42597275999924
2020-05-01,full-time,male,5350.80961688,5402.99383499,-52.184218110000074
2020-06-01,full-time,male,5337.51034785,5350.80961688,-13.299269030000687
2020-07-01,full-time,male,5342.8689186,5337.51034785,5.358570750000581
2020-08-01,full-time,male,5363.05904229,5342.8689186,20.19012369000029
2020-09-01,full-time,male,5315.50667252,5363.05904229,-47.55236977000004
2020-10-01,full-time,male,5409.7949027,5315.50667252,94.28823018000003
2020-11-01,full-time,male,5448.72659234,5409.7949027,38.931689639999604
2020-12-01,full-time,male,5438.84730468,5448.72659234,-9.879287660000045
2021-01-01,full-time,male,5460.90035516,5438.84730468,22.05305047999991
2021-02-01,full-time,male,5472.15677833,5460.90035516,11.256423169999834
2021-03-01,full-time,male,5471.74356629,5472.15677833,-0.41321203999996214
2021-04-01,full-time,male,5498.96022571,5471.74356629,27.216659419999814
2021-05-01,full-time,male,5530.64308998,5498.96022571,31.68286427000021
2021-06-01,full-time,male,5582.91782793,5530.64308998,52.2747379500006
2021-07-01,full-time,male,5590.62664709,5582.91782793,7.708819159999621
2021-08-01,full-time,male,5543.47247525,5590.62664709,-47.154171840000345
2021-09-01,full-time,male,5530.55591143,5543.47247525,-12.916563819999283
2021-10-01,full-time,male,5509.03150228,5530.55591143,-21.524409150000793
2021-11-01,full-time,male,5593.56133825,5509.03150228,84.52983597000002
2021-12-01,full-time,male,5628.2716751,5593.56133825,34.7103368500002
2022-01-01,full-time,male,5608.27754582,5628.2716751,-19.99412927999947
2022-02-01,full-time,male,5662.6743954,5608.27754582,54.39684957999998
2022-03-01,full-time,male,5672.44390205,5662.6743954,9.76950665000004
2019-01-01,full-time,all,8733.56231507,NA,0
2019-02-01,full-time,all,8723.50855439,8733.56231507,-10.053760679998959
2019-03-01,full-time,all,8775.92748094,8723.50855439,52.418926549999014
2019-04-01,full-time,all,8780.37837277,8775.92748094,4.450891829999819
2019-05-01,full-time,all,8785.31504974,8780.37837277,4.936676970000917
2019-06-01,full-time,all,8816.21605139,8785.31504974,30.90100164999967
2019-07-01,full-time,all,8844.70049553,8816.21605139,28.48444414000005
2019-08-01,full-time,all,8828.80265517,8844.70049553,-15.897840359999464
2019-09-01,full-time,all,8854.21525247,8828.80265517,25.412597299999106
2019-10-01,full-time,all,8842.42036873,8854.21525247,-11.794883739999932
2019-11-01,full-time,all,8843.11666089,8842.42036873,0.6962921600006666
2019-12-01,full-time,all,8836.40077816,8843.11666089,-6.715882730000885
2020-01-01,full-time,all,8875.99284238,8836.40077816,39.592064219999884
2020-02-01,full-time,all,8869.44346316,8875.99284238,-6.549379219999537
2020-03-01,full-time,all,8866.62679061,8869.44346316,-2.8166725499995664
2020-04-01,full-time,all,8641.24580846,8866.62679061,-225.3809821499999
2020-05-01,full-time,all,8545.25771833,8641.24580846,-95.98809013000027
2020-06-01,full-time,all,8531.00731101,8545.25771833,-14.250407319999795
2020-07-01,full-time,all,8557.25119525,8531.00731101,26.243884240000625
2020-08-01,full-time,all,8585.84953349,8557.25119525,28.598338239999066
2020-09-01,full-time,all,8540.62897372,8585.84953349,-45.220559769999454
2020-10-01,full-time,all,8635.0155864,8540.62897372,94.38661268000033
2020-11-01,full-time,all,8713.56170679,8635.0155864,78.54612038999949
2020-12-01,full-time,all,8737.80967173,8713.56170679,24.247964939999292
2021-01-01,full-time,all,8785.97593945,8737.80967173,48.16626772000018
2021-02-01,full-time,all,8867.23264934,8785.97593945,81.25670988999991
2021-03-01,full-time,all,8845.77851471,8867.23264934,-21.454134629999317
2021-04-01,full-time,all,8880.20040252,8845.77851471,34.421887810000044
2021-05-01,full-time,all,8979.05659368,8880.20040252,98.85619115999907
2021-06-01,full-time,all,9032.57695111,8979.05659368,53.52035743000124
2021-07-01,full-time,all,9024.68643597,9032.57695111,-7.890515140001298
2021-08-01,full-time,all,8954.14507496,9024.68643597,-70.54136100999858
2021-09-01,full-time,all,8975.35729026,8954.14507496,21.212215300000025
2021-10-01,full-time,all,8932.6338024,8975.35729026,-42.723487860001114
2021-11-01,full-time,all,9065.85242362,8932.6338024,133.21862121999948
2021-12-01,full-time,all,9112.20196714,9065.85242362,46.349543520000225
2022-01-01,full-time,all,9106.11753004,9112.20196714,-6.084437100000287
2022-02-01,full-time,all,9228.01835719,9106.11753004,121.90082715000062
2022-03-01,full-time,all,9248.56534843,9228.01835719,20.546991240000352
2019-01-01,part-time,male,1255.01173933,NA,0
2019-02-01,part-time,male,1266.69555625,1255.01173933,11.683816920000027
2019-03-01,part-time,male,1258.64314712,1266.69555625,-8.052409129999887
2019-04-01,part-time,male,1271.12298295,1258.64314712,12.479835829999956
2019-05-01,part-time,male,1293.91620515,1271.12298295,22.793222199999946
2019-06-01,part-time,male,1282.4020719,1293.91620515,-11.514133249999986
2019-07-01,part-time,male,1296.27452694,1282.4020719,13.872455039999977
2019-08-01,part-time,male,1303.31520124,1296.27452694,7.0406743000000915
