date,industry,count
1987-08-01,"Transport, Postal and Warehousing",404.673
1987-08-01,Information Media and Telecommunications,165.533
1987-08-01,Financial and Insurance Services,329.182
1987-08-01,"Rental, Hiring and Real Estate Services",94.516
1987-08-01,"Professional, Scientific and Technical Services",313.874
1987-08-01,Administrative and Support Services,146.588
1987-08-01,Public Administration and Safety,428.673
1987-08-01,Education and Training,492.083
1987-08-01,Health Care and Social Assistance,603.349
1987-08-01,Arts and Recreation Services,87.295
1987-08-01,Other Services,321.367
1987-11-01,"Agriculture, Forestry and Fishing",398.851
1987-11-01,Mining,101.362
1987-11-01,Manufacturing,1113.392
1987-11-01,"Electricity, Gas, Water and Waste Services",135.604
1987-11-01,Construction,499.789
1987-11-01,Wholesale Trade,367.861
1987-11-01,Retail Trade,795.901
1987-11-01,Accommodation and Food Services,382.128
1987-11-01,"Transport, Postal and Warehousing",415.183
1987-11-01,Information Media and Telecommunications,168.754
1987-11-01,Financial and Insurance Services,329.916
1987-11-01,"Rental, Hiring and Real Estate Services",90.456
1987-11-01,"Professional, Scientific and Technical Services",313.718
1987-11-01,Administrative and Support Services,142.492
1987-11-01,Public Administration and Safety,420.943
1987-11-01,Education and Training,489.143
1987-11-01,Health Care and Social Assistance,579.622
1987-11-01,Arts and Recreation Services,87.182
1987-11-01,Other Services,328.486
1988-02-01,"Agriculture, Forestry and Fishing",426.85
1988-02-01,Mining,98.019
1988-02-01,Manufacturing,1111.716
1988-02-01,"Electricity, Gas, Water and Waste Services",141.765
1988-02-01,Construction,509.315
1988-02-01,Wholesale Trade,379.601
1988-02-01,Retail Trade,799.981
1988-02-01,Accommodation and Food Services,397.141
1988-02-01,"Transport, Postal and Warehousing",428.246
1988-02-01,Information Media and Telecommunications,168.835
1988-02-01,Financial and Insurance Services,334.295
1988-02-01,"Rental, Hiring and Real Estate Services",95.424
1988-02-01,"Professional, Scientific and Technical Services",321.083
1988-02-01,Administrative and Support Services,148.011
1988-02-01,Public Administration and Safety,417.609
1988-02-01,Education and Training,490.559
1988-02-01,Health Care and Social Assistance,585.878
1988-02-01,Arts and Recreation Services,86.273
1988-02-01,Other Services,335.42
1988-05-01,"Agriculture, Forestry and Fishing",423.428
1988-05-01,Mining,96.126
1988-05-01,Manufacturing,1115.024
1988-05-01,"Electricity, Gas, Water and Waste Services",127.453
1988-05-01,Construction,523.747
1988-05-01,Wholesale Trade,391.321
1988-05-01,Retail Trade,807.666
1988-05-01,Accommodation and Food Services,396.272
1988-05-01,"Transport, Postal and Warehousing",416.854
1988-05-01,Information Media and Telecommunications,169.012
1988-05-01,Financial and Insurance Services,330.297
1988-05-01,"Rental, Hiring and Real Estate Services",102.971
1988-05-01,"Professional, Scientific and Technical Services",335.623
1988-05-01,Administrative and Support Services,150.514
1988-05-01,Public Administration and Safety,416.83
1988-05-01,Education and Training,490.407
1988-05-01,Health Care and Social Assistance,608.614
1988-05-01,Arts and Recreation Services,85.454
1988-05-01,Other Services,337.425
1988-08-01,"Agriculture, Forestry and Fishing",436.038
1988-08-01,Mining,97.967
1988-08-01,Manufacturing,1140.049
1988-08-01,"Electricity, Gas, Water and Waste Services",127.038
1988-08-01,Construction,538.132
1988-08-01,Wholesale Trade,394.162
1988-08-01,Retail Trade,814.49
1988-08-01,Accommodation and Food Services,403.648
1988-08-01,"Transport, Postal and Warehousing",405.954
1988-08-01,Information Media and Telecommunications,169.661
1988-08-01,Financial and Insurance Services,327.675
1988-08-01,"Rental, Hiring and Real Estate Services",107.681
1988-08-01,"Professional, Scientific and Technical Services",341.482
1988-08-01,Administrative and Support Services,154.34
1988-08-01,Public Administration and Safety,403.118
1988-08-01,Education and Training,486.801
1988-08-01,Health Care and Social Assistance,621.311
1988-08-01,Arts and Recreation Services,85.262
1988-08-01,Other Services,340.583
1988-11-01,"Agriculture, Forestry and Fishing",429.666
1988-11-01,Mining,96.96
1988-11-01,Manufacturing,1137.956
1988-11-01,"Electricity, Gas, Water and Waste Services",128.278
1988-11-01,Construction,566.085
1988-11-01,Wholesale Trade,404.332
1988-11-01,Retail Trade,815.948
1988-11-01,Accommodation and Food Services,411.332
1988-11-01,"Transport, Postal and Warehousing",410.875
1988-11-01,Information Media and Telecommunications,175.104
1988-11-01,Financial and Insurance Services,338.405
1988-11-01,"Rental, Hiring and Real Estate Services",109.242
1988-11-01,"Professional, Scientific and Technical Services",343.648
1988-11-01,Administrative and Support Services,158.198
1988-11-01,Public Administration and Safety,410.731
1988-11-01,Education and Training,499.286
1988-11-01,Health Care and Social Assistance,623.957
1988-11-01,Arts and Recreation Services,84.471
1988-11-01,Other Services,342.425
1989-02-01,"Agriculture, Forestry and Fishing",430.839
1989-02-01,Mining,99.723
1989-02-01,Manufacturing,1150.904
1989-02-01,"Electricity, Gas, Water and Waste Services",131.361
1989-02-01,Construction,582.502
1989-02-01,Wholesale Trade,411.69
1989-02-01,Retail Trade,846.492
1989-02-01,Accommodation and Food Services,409.294
1989-02-01,"Transport, Postal and Warehousing",423.263
1989-02-01,Information Media and Telecommunications,175.376
1989-02-01,Financial and Insurance Services,351.36
1989-02-01,"Rental, Hiring and Real Estate Services",114.075
1989-02-01,"Professional, Scientific and Technical Services",345.216
1989-02-01,Administrative and Support Services,158.337
1989-02-01,Public Administration and Safety,401.135
1989-02-01,Education and Training,493.349
1989-02-01,Health Care and Social Assistance,644.428
1989-02-01,Arts and Recreation Services,91.01
1989-02-01,Other Services,337.648
1989-05-01,"Agriculture, Forestry and Fishing",426.369
1989-05-01,Mining,103.307
1989-05-01,Manufacturing,1172.858
1989-05-01,"Electricity, Gas, Water and Waste Services",134.322
1989-05-01,Construction,595.767
1989-05-01,Wholesale Trade,409.868
1989-05-01,Retail Trade,836.896
1989-05-01,Accommodation and Food Services,418.066
1989-05-01,"Transport, Postal and Warehousing",421.513
1989-05-01,Information Media and Telecommunications,175.593
1989-05-01,Financial and Insurance Services,351.36
1989-05-01,"Rental, Hiring and Real Estate Services",115.981
1989-05-01,"Professional, Scientific and Technical Services",345.821
1989-05-01,Administrative and Support Services,162
1989-05-01,Public Administration and Safety,406.824
1989-05-01,Education and Training,504.451
1989-05-01,Health Care and Social Assistance,666.379
1989-05-01,Arts and Recreation Services,97.495
1989-05-01,Other Services,343.799
1989-08-01,"Agriculture, Forestry and Fishing",416.222
1989-08-01,Mining,107.438
1989-08-01,Manufacturing,1169.052
1989-08-01,"Electricity, Gas, Water and Waste Services",126.374
1989-08-01,Construction,608.872
1989-08-01,Wholesale Trade,419.109
1989-08-01,Retail Trade,863.179
1989-08-01,Accommodation and Food Services,425.975
1989-08-01,"Transport, Postal and Warehousing",435.689
1989-08-01,Information Media and Telecommunications,179.809
1989-08-01,Financial and Insurance Services,346.095
1989-08-01,"Rental, Hiring and Real Estate Services",126.692
1989-08-01,"Professional, Scientific and Technical Services",360.288
1989-08-01,Administrative and Support Services,163.394
1989-08-01,Public Administration and Safety,410.968
1989-08-01,Education and Training,515.508
1989-08-01,Health Care and Social Assistance,631.63
1989-08-01,Arts and Recreation Services,99.518
1989-08-01,Other Services,349.907
1989-11-01,"Agriculture, Forestry and Fishing",420.625
1989-11-01,Mining,108.745
1989-11-01,Manufacturing,1156.315
1989-11-01,"Electricity, Gas, Water and Waste Services",120.669
1989-11-01,Construction,609.209
